Bench 1,Disconnected,Sat 11/24/2018,15:43:42.33
Bench 2,Disconnected,Sat 11/24/2018,15:43:42.54
Bench 3,Disconnected,Sat 11/24/2018,15:43:42.74
Bench 4,Disconnected,Sat 11/24/2018,15:43:42.93
Bench 5,Disconnected,Sat 11/24/2018,15:43:43.14
Bench 6,Disconnected,Sat 11/24/2018,15:43:43.34
Bench 7,Disconnected,Sat 11/24/2018,15:43:43.54
Bench 8,Disconnected,Sat 11/24/2018,15:43:43.73
Bench 9,Disconnected,Sat 11/24/2018,15:43:43.93
Bench 10,Disconnected,Sat 11/24/2018,15:43:44.13
Bench 11,Disconnected,Sat 11/24/2018,15:43:44.34
Bench 12,Disconnected,Sat 11/24/2018,15:43:44.57
Bench 13,Disconnected,Sat 11/24/2018,15:43:44.77
Bench 14,Disconnected,Sat 11/24/2018,15:43:44.97
Bench 15,Disconnected,Sat 11/24/2018,15:43:45.17
Bench 16,Disconnected,Sat 11/24/2018,15:43:45.37
Bench 17,Disconnected,Sat 11/24/2018,15:43:45.58
Bench 18,Disconnected,Sat 11/24/2018,15:43:45.78
Bench 19,Disconnected,Sat 11/24/2018,15:43:45.99
Bench 20,Disconnected,Sat 11/24/2018,15:43:46.20
